Ticker,Sector,MarketCapitalization
AXDX.US,Healthcare,24325320.0
AXGN.US,Healthcare,425270784.0
AXNX.US,Healthcare,3449773824.0
AXON.US,Industrials,20315301888.0
AXSM.US,Healthcare,4590227968.0
AXTI.US,Technology,109983632.0
AY.US,Utilities,2141971968.0
AYRO.US,Consumer Cyclical,8801763.0
AYTU.US,Healthcare,16145722.0
AZ.US,Industrials,51852244.0
AZN.US,Healthcare,201046245376.0
AZPN.US,Technology,11880448000.0
AZTA.US,Healthcare,3631980800.0
BACK.US,Healthcare,2333556.0
BAER.US,Industrials,279648960.0
BAERW.US,Industrials,
BAFN.US,Financial Services,53107272.0
BAND.US,Technology,370009728.0
BANF.US,Financial Services,2921815808.0
BANL.US,Energy,34250000.0
BANR.US,Financial Services,1528160384.0
BANX.US,Financial Services,131148144.0
BAOS.US,Communication Services,5715975.0
BASE.US,Technology,1342159104.0
BATRA.US,Communication Services,2570982400.0
BATRK.US,Communication Services,2568818944.0
BAYA.US,,
BAYAR.US,,
BAYAU.US,,
BBCP.US,Industrials,439655392.0
BBGI.US,Communication Services,24871862.0
BBI.US,Healthcare,6753805.0
BBIG.US,Consumer Cyclical,83200.0
BBIO.US,Healthcare,5996642816.0
BBLG.US,Healthcare,2097418.0
BBLGW.US,Healthcare,
BBSI.US,Industrials,751320640.0
BCAB.US,Healthcare,132782168.0
BCAL.US,Financial Services,285883648.0
BCAN.US,Technology,9512995.0
BCBP.US,Financial Services,179768160.0
BCDA.US,Healthcare,9542238.0
BCDAW.US,Healthcare,
BCEL.US,Healthcare,10619264.0
BCLI.US,Healthcare,18368100.0
BCML.US,Financial Services,231141520.0
BCOV.US,Technology,98246720.0
BCOW.US,Financial Services,47471904.0
BCPC.US,Basic Materials,4679473152.0
BCRX.US,Healthcare,1177651712.0
BCSA.US,Financial Services,147368784.0
BCSAW.US,Financial Services,
BCTX.US,Healthcare,63447348.0
BCTXW.US,Healthcare,48083940.0
BCYC.US,Healthcare,649841472.0
BDRX.US,Healthcare,3431571.0
BDSX.US,Healthcare,163762112.0
BDTX.US,Healthcare,230809104.0
BEAM.US,Healthcare,2367693824.0
BEAT.US,Healthcare,47655488.0
BEATW.US,Healthcare,
BECN.US,Industrials,5530785280.0
BEEM.US,Technology,104195600.0
BEEMW.US,Technology,350513500.0
BELFA.US,Technology,897721280.0
BELFB.US,Technology,897720384.0
BENF.US,Financial Services,113303504.0
BENFW.US,Financial Services,
BETRW.US,Financial Services,
BETS.US,Financial Services,
BFC.US,Financial Services,881137152.0
BFI.US,Consumer Cyclical,16022338.0
BFIIW.US,Consumer Cyclical,181417300.0
BFIN.US,Financial Services,128751288.0
BFRG.US,Healthcare,35687984.0
BFRGW.US,Healthcare,
BFRI.US,Healthcare,1232475.0
BFRIW.US,Healthcare,
BFST.US,Financial Services,552922752.0
BGC.US,Financial Services,3387505152.0
BGFV.US,Consumer Cyclical,117359520.0
BGLC.US,Basic Materials,7609938.0
BGNE.US,Healthcare,15996211200.0
BGXX.US,Healthcare,32731352.0
BHAC.US,Financial Services,84167592.0
BHACW.US,Financial Services,
BHAT.US,Communication Services,61318212.0
BHF.US,Financial Services,3385519104.0
BHFAL.US,Other,4816422400.0
BHRB.US,Financial Services,422693600.0
BIAF.US,Healthcare,15013540.0
BIAFW.US,Healthcare,
BIDU.US,Communication Services,36948905984.0
BIGC.US,Technology,658176768.0
BIIB.US,Healthcare,34917519360.0
BILI.US,Communication Services,4072111104.0
BIMI.US,Healthcare,37942756.0
BIOCQ.US,Healthcare,
BIOL.US,Healthcare,1707970.0
BIOR.US,Healthcare,23263952.0
BIOX.US,Basic Materials,852874496.0
BIRD.US,Consumer Cyclical,147486896.0
BITF.US,Financial Services,876188160.0
BIVI.US,Healthcare,56136480.0
BJDX.US,Healthcare,1442495.0
BJRI.US,Consumer Cyclical,844431616.0
BKCC.US,Financial Services,269865760.0
BKNG.US,Consumer Cyclical,133917483008.0
BKR.US,Energy,29288992768.0
BKYI.US,Industrials,3385522.0
BL.US,Technology,3777895936.0
BLAC.US,Financial Services,95711344.0
BLACR.US,,
BLACW.US,Financial Services,
BLBD.US,Consumer Cyclical,989140992.0
BLBX.US,Technology,7968265.0
BLDE.US,Industrials,229872096.0
BLDEW.US,Industrials,852941700.0
BLDP.US,Industrials,964865600.0
BLEU.US,Financial Services,90864176.0
BLEUR.US,,
BLEUW.US,Financial Services,
BLFS.US,Healthcare,841036800.0
BLFY.US,Financial Services,220344896.0
BLIN.US,Technology,8959136.0
BLKB.US,Technology,4418606080.0
BLMN.US,Consumer Cyclical,2358736384.0
BLNK.US,Industrials,188068320.0
BLPH.US,Healthcare,767595.0
BLRX.US,Healthcare,82037008.0
BLTE.US,Healthcare,1312341888.0
BLUE.US,Healthcare,202378512.0
BLZE.US,Technology,342536000.0
BMBL.US,Technology,2486078976.0
BMEA.US,Healthcare,654487296.0
BMR.US,Technology,27538242.0
BMRA.US,Healthcare,15617173.0
BMRC.US,Financial Services,283256768.0
BMRN.US,Healthcare,16663032832.0
BNGO.US,Healthcare,47773568.0
BNIX.US,Financial Services,59280172.0
BNIXR.US,,
BNIXW.US,Financial Services,
BNOX.US,Healthcare,7931170.0
BNR.US,Healthcare,83618520.0
BNRG.US,Utilities,11134297.0
BNTC.US,Healthcare,7408598.0
BNTX.US,Healthcare,22385825792.0
BNZI.US,Technology,
BNZIW.US,Technology,
BOCN.US,Financial Services,118548392.0
BOCNW.US,Financial Services,
BOF.US,Consumer Defensive,6391033.0
BOKF.US,Financial Services,5444269056.0
BOLT.US,Healthcare,41003172.0
BON.US,Consumer Defensive,5909715.0
BOOM.US,Energy,353732640.0
BOSC.US,Technology,15797803.0
BOTJ.US,Financial Services,54292836.0
BOWN.US,Financial Services,
BOWNR.US,,
BOXL.US,Technology,8063318.0
BPMC.US,Healthcare,4668041216.0
BPOP.US,Financial Services,6100587008.0
BPOPM.US,Financials,
BPRN.US,Financial Services,197628192.0
BPTH.US,Healthcare,5558715.0
BPTS.US,Healthcare,4672915.0
BRAC.US,Financial Services,52830044.0
BRACR.US,,
BRACU.US,Financial Services,46586980.0
BRAG.US,Communication Services,127863424.0
BREA.US,Communication Services,12476201.0
BREZ.US,Financial Services,49011792.0
BREZR.US,,173133700.0
BREZW.US,Financial Services,173133700.0
BRFH.US,Consumer Defensive,18102240.0
BRID.US,Consumer Defensive,97848224.0
BRKH.US,Financial Services,163453904.0
BRKHW.US,Financial Services,
BRKL.US,Financial Services,902712000.0
BRKR.US,Healthcare,9820306432.0
BRLSW.US,,
BRLT.US,Consumer Cyclical,311648928.0
BRNS.US,Healthcare,98816000.0
BROG.US,Energy,316709344.0
BROGW.US,Energy,
BRP.US,Financial Services,1565502592.0
BRQSF.US,Technology,
BRSH.US,Consumer Defensive,10601955.0
BRSHW.US,Consumer Defensive,
BRTX.US,Healthcare,6354342.0
BRY.US,Energy,493347520.0
BRZE.US,Technology,5950606848.0
BSBK.US,Financial Services,106366296.0
BSET.US,Consumer Cyclical,135692816.0
BSFC.US,Consumer Defensive,2137427.0
BSGM.US,Healthcare,8988325.0
BSRR.US,Financial Services,277383744.0
BSVN.US,Financial Services,253396624.0
BSY.US,Technology,15642436608.0
BTAI.US,Healthcare,115022424.0
BTBD.US,Consumer Cyclical,12492240.0
BTBDW.US,Consumer Cyclical,
BTBT.US,Financial Services,274098240.0
BTCS.US,Financial Services,25153100.0
BTCT.US,Consumer Defensive,
BTCTW.US,Consumer Defensive,
BTCY.US,Healthcare,7211381.0
BTDR.US,Technology,877596800.0
BTM.US,Financial Services,30216156.0
BTMD.US,Healthcare,290310016.0
BTMWW.US,Financial Services,
BTOG.US,Financial Services,28494436.0
BTSGU.US,Healthcare,
BTTX.US,Healthcare,8207227.0
BUJA.US,Financial Services,
BUJAR.US,,
BUJAW.US,Financial Services,
BUSE.US,Financial Services,1290502272.0
BVFL.US,Financial Services,146975344.0
BVS.US,Healthcare,277049536.0
